potential(mV),component3,component4,background label,stimulation noise label,evoked potential label,dataset number,channel number,epoch number,stimulus number
-0.0474741290887044,-0.0233207401169726,-0.0140891815952481,0,1,0,1,1,10,1
-0.0667210992370686,-0.0370220677604313,-0.0137056987618529,0,1,0,1,1,10,1
-0.0800459247126857,-0.0383548998790885,-0.0118839557558151,0,1,0,1,1,10,1
-0.0622794907430975,-0.0245350889059091,-0.00884053302962285,0,1,0,1,1,10,1
-0.00404506816220795,0.000476864716053974,-0.00498007884272735,0,1,0,1,1,10,1
0.0285267276106378,0.0268227611354578,-0.000818716851045917,0,1,0,1,1,10,1
0.0591244752211342,0.0435841375817457,0.00313790950476626,0,1,0,1,1,10,1
0.0630725716919258,0.0435472621593232,0.00647380780155259,0,1,0,1,1,10,1
0.0354358964201258,0.0265836439028234,0.00889201642992601,0,1,0,1,1,10,1
0.00533166091676129,3.0784188679983e-05,0.010225966148712,0,1,0,1,1,10,1
-0.0252660865836489,-0.0250399225461213,0.0104391505022354,0,1,0,1,1,10,1
-0.0395779362013116,-0.0386083161211628,0.00962816357924156,0,1,0,1,1,10,1
-0.0356298397562655,-0.0357663276412448,0.00802402540518657,0,1,0,1,1,10,1
-0.0119412610664726,-0.0186991278788613,0.00593953755463253,0,1,0,1,1,10,1
0.0127343417726116,0.00471259439676674,0.00368565772863201,0,1,0,1,1,10,1
0.0403710170003686,0.0245482987356323,0.00152175101131641,0,1,0,1,1,10,1
0.0517217943414838,0.0328686032322745,-0.00036753239187747,0,1,0,1,1,10,1
0.0398775049422673,0.0268810323521719,-0.0018707965262766,0,1,0,1,1,10,1
0.00434463680291808,0.00993235918607646,-0.00292168526666984,0,1,0,1,1,10,1
-0.00848667667133984,-0.0104103864925188,-0.00349586521681302,0,1,0,1,1,10,1
-0.0376038879789018,-0.0255579041999168,-0.00362936202320901,0,1,0,1,1,10,1
-0.0321752553661008,-0.0294071297485358,-0.00340307699757416,0,1,0,1,1,10,1
-0.0277336468634237,-0.0209982883711462,-0.00291862263413032,0,1,0,1,1,10,1
-0.00503209227545609,-0.00438716417052289,-0.00228569715394,0,1,0,1,1,10,1
0.0265526793799591,0.0131503919845878,-0.00159874248886849,0,1,0,1,1,10,1
0.0334618481885056,0.0241665610582485,-0.000929545973915549,0,1,0,1,1,10,1
0.0364229205360376,0.0245029108451401,-0.000352088026909784,0,1,0,1,1,10,1
0.0171759502878603,0.0146350801200344,5.51224264526052e-05,0,1,0,1,1,10,1
-9.69717085941291e-05,-0.000606958509591273,0.000230231844490748,0,1,0,1,1,10,1
-0.0149023334045664,-0.0141395231498202,0.000133775475676292,0,1,0,1,1,10,1
-0.0311882312544962,-0.0201972705865361,-0.000233019524694423,0,1,0,1,1,10,1
-0.0351363277005703,-0.0166210758786166,-0.000805640247211663,0,1,0,1,1,10,1
-0.00355155610556057,-0.00569201404263912,-0.00147593893910131,0,1,0,1,1,10,1
0.0147083900014495,0.00691792104590882,-0.00212038695667754,0,1,0,1,1,10,1
0.0156954141159651,0.0152951008119296,-0.00260189678117095,0,1,0,1,1,10,1
0.0166824382305455,0.0159183444519889,-0.00277975438615067,0,1,0,1,1,10,1
0.00187707651858826,0.00899422041359927,-0.00252858173494694,0,1,0,1,1,10,1
-0.00848667667133984,-0.00166712124955357,-0.00174737686397268,0,1,0,1,1,10,1
-0.0277336468634237,-0.0109632705569521,-0.000397147519863202,0,1,0,1,1,10,1
