potential(mV),component1,component2,background label,stimulation noise label,evoked potential label,dataset number,channel number,epoch number,stimulus number
-0.0168763816296602,6.08712361958468e-08,0.00187611944769506,0,1,0,1,1,7,1
0.00187707651858826,0.00315414212561538,0.000681327779137515,0,1,0,1,1,7,1
0.00434463680291808,0.00611430787765219,-0.000738764241551618,0,1,0,1,1,7,1
0.0112538056011537,0.00726154578806028,-0.0022697315110598,0,1,0,1,1,7,1
-0.00207101993552561,0.00558018554782107,-0.00373746045400392,0,1,0,1,1,7,1
-0.00848667667133984,0.00115933510664295,-0.00493544216286805,0,1,0,1,1,7,1
-0.0213179901352474,-0.00447856231056712,-0.00566848740756206,0,1,0,1,1,7,1
-0.0183569177983234,-0.00912134597495749,-0.0058067943021801,0,1,0,1,1,7,1
-0.0242790624716367,-0.0108450088082708,-0.00533066197658518,0,1,0,1,1,7,1
-0.0203309660229984,-0.0087341667954184,-0.00430151654731896,0,1,0,1,1,7,1
-0.0124347731228593,-0.00354677874316377,-0.00281383450265873,0,1,0,1,1,7,1
-0.00700614050176762,0.00265924239034232,-0.00101481553265384,0,1,0,1,1,7,1
-0.00207101993552561,0.00743533796770357,0.000883081663899032,0,1,0,1,1,7,1
0.0122408297154433,0.00890126699268828,0.00263242015356344,0,1,0,1,1,7,1
0.0156954141159651,0.00687339255111391,0.00399127130899026,0,1,0,1,1,7,1
0.00582517297370622,0.00280946132325028,0.00479005409461295,0,1,0,1,1,7,1
-0.0232920383595663,-0.00105858234309012,0.00498711930636201,0,1,0,1,1,7,1
-0.0104607248972215,-0.00274862137456492,0.00463633351675147,0,1,0,1,1,7,2
0.000396540348178043,-0.00187602667615636,0.00383071264421243,0,1,0,1,1,7,2
0.00187707651858826,0.000335751888020774,0.00270787995423965,0,1,0,1,1,7,2
-9.69717085941291e-05,0.00203375267009528,0.00144890110092095,0,1,0,1,1,7,2
-9.69717085941291e-05,0.00163076970624993,0.000250178258685041,0,1,0,1,1,7,2
-0.0139153092919289,-0.000984987043133633,-0.000701843245170648,0,1,0,1,1,7,2
-0.00651262844521305,-0.00442791056043505,-0.0012878109412489,0,1,0,1,1,7,2
-0.0183569177983234,-0.00685224513705297,-0.00150370527870682,0,1,0,1,1,7,2
-0.0173698936858964,-0.00668814038987754,-0.00142877657800101,0,1,0,1,1,7,2
-0.0129282851792309,-0.00362285786844254,-0.00116803240146531,0,1,0,1,1,7,2
-0.00108399582209096,0.00118127012194874,-0.000841408251359306,0,1,0,1,1,7,2
-0.00355155610556057,0.0058911498873501,-0.000572200644081841,0,1,0,1,1,7,2
0.00779922120164533,0.00862714279925502,-0.000461476284480953,0,1,0,1,1,7,2
0.00335761268913881,0.008341401762162,-0.000579400087416957,0,1,0,1,1,7,2
0.00335761268913881,0.00532246202290627,-0.000934710084551134,0,1,0,1,1,7,2
-0.00898018872783313,0.000842410300942948,-0.0014473440263579,0,1,0,1,1,7,2
-0.0124347731228593,-0.00334108820167337,-0.00198074528746681,0,1,0,1,1,7,2
-0.0139153092919289,-0.00580228205381094,-0.0023977398939879,0,1,0,1,1,7,2
-0.0183569177983234,-0.00605666094120844,-0.00258015972293808,0,1,0,1,1,7,2
-0.0060191163886425,-0.0045942119313753,-0.00244020179300631,0,1,0,1,1,7,2
-0.00503209227545609,-0.00250400132858058,-0.00194567453735505,0,1,0,1,1,7,2
-0.00749965255830709,-0.000771921635759122,-0.00111848382983925,0,1,0,1,1,7,2
-0.00404506816220795,0.000171276185193877,-3.80922298738577e-05,0,1,0,1,1,7,2
-0.00108399582209096,0.000623346129870524,0.00115209217764976,0,1,0,1,1,7,2
0.00335761268913881,0.00123338705168205,0.00228254605014991,0,1,0,1,1,7,2
-0.00700614050176762,0.00234337725028655,0.00320839301052876,0,1,0,1,1,8,1
0.00385112474602067,0.00377034835207767,0.00382080131536262,0,1,0,1,1,8,1
0.00829273325867064,0.00471193722691591,0.00404643700608126,0,1,0,1,1,8,1
0.00335761268913881,0.00423609187186457,0.00387012850039612,0,1,0,1,1,8,1
0.00681219708764402,0.0020793680168251,0.00333076247131786,0,1,0,1,1,8,1
0.000890052404965758,-0.00121478468125475,0.00251405725516975,0,1,0,1,1,8,1
-0.0124347731228593,-0.00436475142542472,0.00154863184264694,0,1,0,1,1,8,1
-0.0183569177983234,-0.00590367939492316,0.000558004813814607,0,1,0,1,1,8,1
-0.00848667667133984,-0.00515473996815204,-0.000376533343245084,0,1,0,1,1,8,1
-0.00799316461483102,-0.00250579139489413,-0.00120177173246643,0,1,0,1,1,8,1
-0.0060191163886425,0.000787365746606741,-0.00187364422513044,0,1,0,1,1,8,1
-0.00355155610556057,0.00315905698369168,-0.00236821607058977,0,1,0,1,1,8,1
-0.00552560433205729,0.00370063203057312,-0.00268094147761594,0,1,0,1,1,8,1
-0.00207101993552561,0.00262015119019277,-0.0028315226993446,0,1,0,1,1,8,1
-0.0134217972355879,0.000965583732524881,-0.00286275297561907,0,1,0,1,1,8,1
-0.0114477490100704,-9.06924451611567e-05,-0.00278624767296869,0,1,0,1,1,8,1
-0.0104607248972215,-3.81687248325276e-06,-0.00256609528230742,0,1,0,1,1,8,1
-0.0139153092919289,0.000712340117208573,-0.00216093737625354,0,1,0,1,1,8,1
-0.0099672128407744,0.000868441931425369,-0.00155903151312979,0,1,0,1,1,8,1
-0.00256453199221918,-0.000306995453545272,-0.00078790639705229,0,1,0,1,1,8,1
0.0117473176582905,-0.00268180882448343,9.04168932606043e-05,0,1,0,1,1,8,1
-0.0277336468634237,-0.00508615135456372,0.0010095198134629,0,1,0,1,1,8,2
-0.0252660865836489,-0.00581089665246765,0.00190974924586448,0,1,0,1,1,8,2
-0.00898018872783313,-0.00400048098616457,0.00269216558308067,0,1,0,1,1,8,2
0.00187707651858826,1.89610473819594e-05,0.0032210755546494,0,1,0,1,1,8,2
0.0122408297154433,0.00484838757993443,0.00337693995160921,0,1,0,1,1,8,2
-0.00207101993552561,0.00843411634257963,0.00309658692534578,0,1,0,1,1,8,2
0.00335761268913881,0.00933776890875259,0.00240235893974138,0,1,0,1,1,8,2
0.00335761268913881,0.00708972847152948,0.00139571988743578,0,1,0,1,1,8,2
0.000396540348178043,0.00227720948679799,0.000207345830868953,0,1,0,1,1,8,2
-0.00848667667133984,-0.00344148571325874,-0.00102916701122209,0,1,0,1,1,8,2
-0.0158893575171435,-0.00810235282333787,-0.00215485574751476,0,1,0,1,1,8,2
-0.0203309660229984,-0.00996903721787608,-0.00299919903514975,0,1,0,1,1,8,2
-0.0203309660229984,-0.00820910697051453,-0.00342173977449387,0,1,0,1,1,8,2
-0.0158893575171435,-0.00352619125195464,-0.00334383554559925,0,1,0,1,1,8,2
-0.00355155610556057,0.00208327854500755,-0.00278490163406363,0,1,0,1,1,8,2
0.00631868503066668,0.00610145185413013,-0.00185993147557792,0,1,0,1,1,8,2
0.00631868503066668,0.00671289241005906,-0.000726436801502425,0,1,0,1,1,8,2
0.00631868503066668,0.00388628676658842,0.000451998087801754,0,1,0,1,1,8,2
-0.00453858021883979,-0.000578841888537766,0.00150979672539864,0,1,0,1,1,8,2
-0.0119412610664726,-0.00401413544097242,0.00229809078600007,0,1,0,1,1,8,2
-0.0144088213482552,-0.00433489223297424,0.00270566958148685,0,1,0,1,1,8,2
-9.69717085941291e-05,-0.00126098494408978,0.00267598324184378,0,1,0,1,1,9,1
0.00434463680291808,0.00349061758520168,0.00223700811725282,0,1,0,1,1,9,1
0.00878624531571059,0.00719820115345735,0.0015022615745329,0,1,0,1,1,9,1
0.00779922120164533,0.0075878503460054,0.000627302726732484,0,1,0,1,1,9,1
-9.69717085941291e-05,0.0040359768341295,-0.000228211663054902,0,1,0,1,1,9,1
