potential(mV),background label,stimulation noise label,evoked potential label,dataset number,channel number,epoch number,stimulus number
0.0477736978739633,0,1,0,1,1,12,2
0.0230980949769144,0,1,0,1,1,12,2
0.0230980949769144,0,1,0,1,1,12,2
-0.0129282851792309,0,1,0,1,1,12,2
-0.00651262844521305,0,1,0,1,1,12,2
-0.0227985263035086,0,1,0,1,1,12,2
0.0112538056011537,0,1,0,1,1,12,2
0.0142148779442159,0,1,0,1,1,12,2
0.0166824382305455,0,1,0,1,1,12,2
0.0181629744025384,0,1,0,1,1,12,2
0.00730570914463691,0,1,0,1,1,12,2
-0.00108399582209096,0,1,0,1,1,12,2
-0.021811502191349,0,1,0,1,1,12,2
-0.0178634057421174,0,1,0,1,1,12,2
-0.0208244780791302,0,1,0,1,1,12,2
-0.00503209227545609,0,1,0,1,1,12,2
-0.00453858021883979,0,1,0,1,1,12,2
0.0142148779442159,0,1,0,1,1,12,2
0.0122408297154433,0,1,0,1,1,12,2
0.010760293544033,0,1,0,1,1,12,2
-0.0178634057421174,0,1,0,1,1,12,2
0.108475681191575,0,1,0,1,1,13,1
0.0976184158617404,0,1,0,1,1,13,1
0.0374099446520177,0,1,0,1,1,13,1
0.00878624531571059,0,1,0,1,1,13,1
-0.0232920383595663,0,1,0,1,1,13,1
-0.0237855504156093,0,1,0,1,1,13,1
-0.00207101993552561,0,1,0,1,1,13,1
0.0275397034952647,0,1,0,1,1,13,1
0.0482672099323418,0,1,0,1,1,13,1
0.0665271561048155,0,1,0,1,1,13,1
0.0640595958098036,0,1,0,1,1,13,1
0.0433320893493381,0,1,0,1,1,13,1
0.0127343417726116,0,1,0,1,1,13,1
-0.00404506816220795,0,1,0,1,1,13,1
-0.0257595986396337,0,1,0,1,1,13,1
-0.0114477490100704,0,1,0,1,1,13,1
0.00927975737276743,0,1,0,1,1,13,1
0.0334618481885056,0,1,0,1,1,13,1
0.0507347702244978,0,1,0,1,1,13,1
0.0566569149274727,0,1,0,1,1,13,1
0.0423450652329462,0,1,0,1,1,13,1
0.0240851190919869,0,1,0,1,1,13,1
-0.0232920383595663,0,1,0,1,1,13,1
-0.0168763816296602,0,1,0,1,1,13,1
-0.0232920383595663,0,1,0,1,1,13,1
-0.00799316461483102,0,1,0,1,1,13,1
0.0102667814869286,0,1,0,1,1,13,1
0.0181629744025384,0,1,0,1,1,13,1
0.0319813120149677,0,1,0,1,1,13,1
0.0230980949769144,0,1,0,1,1,13,1
0.0112538056011537,0,1,0,1,1,13,1
-0.00848667667133984,0,1,0,1,1,13,1
0.00138356446176857,0,1,0,1,1,13,1
-0.0129282851792309,0,1,0,1,1,13,1
0.0156954141159651,0,1,0,1,1,13,1
0.00878624531571059,0,1,0,1,1,13,1
0.026059167322332,0,1,0,1,1,13,1
0.0191499985172823,0,1,0,1,1,13,1
0.0117473176582905,0,1,0,1,1,13,1
-0.00207101993552561,0,1,0,1,1,13,1
-0.00651262844521305,0,1,0,1,1,13,1
-0.0168763816296602,0,1,0,1,1,13,1
-0.00947370078431131,0,1,0,1,1,13,1
-0.0139153092919289,0,1,0,1,1,13,1
-0.00108399582209096,0,1,0,1,1,13,1
0.00385112474602067,0,1,0,1,1,13,1
0.00927975737276743,0,1,0,1,1,13,1
0.00237058857542216,0,1,0,1,1,13,1
-0.00453858021883979,0,1,0,1,1,13,1
-0.0104607248972215,0,1,0,1,1,13,1
-0.0232920383595663,0,1,0,1,1,13,1
-0.0178634057421174,0,1,0,1,1,13,1
-0.0178634057421174,0,1,0,1,1,13,1
-0.00651262844521305,0,1,0,1,1,13,1
0.00187707651858826,0,1,0,1,1,13,1
0.00878624531571059,0,1,0,1,1,13,1
-0.00552560433205729,0,1,0,1,1,13,1
0.108475681191575,0,1,0,1,1,14,1
0.10551460882795,0,1,0,1,1,14,1
0.0300072637838205,0,1,0,1,1,14,1
0.0324748240727968,0,1,0,1,1,14,1
-0.043032520589986,0,1,0,1,1,14,1
-0.0440195447009097,0,1,0,1,1,14,1
-0.0134217972355879,0,1,0,1,1,14,1
0.0275397034952647,0,1,0,1,1,14,1
0.0517217943414838,0,1,0,1,1,14,1
0.0754103731706435,0,1,0,1,1,14,1
0.0719557887554476,0,1,0,1,1,14,1
0.0388904808261166,0,1,0,1,1,14,1
0.0270461914376039,0,1,0,1,1,14,1
-0.0173698936858964,0,1,0,1,1,14,1
-0.0242790624716367,0,1,0,1,1,14,1
-0.0193439419106909,0,1,0,1,1,14,1
0.00681219708764402,0,1,0,1,1,14,1
0.026059167322332,0,1,0,1,1,14,1
0.0561634028687941,0,1,0,1,1,14,1
0.0610985234563861,0,1,0,1,1,14,1
0.0349423843621945,0,1,0,1,1,14,1
0.0196435105746788,0,1,0,1,1,14,1
-0.0252660865836489,0,1,0,1,1,14,1
-0.0316817433103056,0,1,0,1,1,14,1
-0.0252660865836489,0,1,0,1,1,14,1
-0.00700614050176762,0,1,0,1,1,14,1
0.0181629744025384,0,1,0,1,1,14,1
0.0423450652329462,0,1,0,1,1,14,1
0.0349423843621945,0,1,0,1,1,14,1
0.0349423843621945,0,1,0,1,1,14,1
-0.00305804404889765,0,1,0,1,1,14,1
-0.00799316461483102,0,1,0,1,1,14,1
-0.026253110695603,0,1,0,1,1,14,1
-0.0158893575171435,0,1,0,1,1,14,1
