potential(mV),background label,stimulation noise label,evoked potential label
-0.0292141830311134,0,1,0
-0.0351363277005703,0,1,0
-0.0104607248972215,0,1,0
0.0275397034952647,0,1,0
0.0344488723042815,0,1,0
0.052215306400003,0,1,0
0.035929408478073,0,1,0
0.0181629744025384,0,1,0
-0.0109542369536539,0,1,0
-0.0277336468634237,0,1,0
-0.0366168638676125,0,1,0
-0.0104607248972215,0,1,0
0.00335761268913881,0,1,0
0.0142148779442159,0,1,0
0.0457996496406228,0,1,0
0.0379034567100334,0,1,0
0.0305007758415829,0,1,0
0.0161889261732471,0,1,0
-0.0129282851792309,0,1,0
-0.0178634057421174,0,1,0
0.000890052404965758,0,1,0
0.00187707651858826,0,1,0
0.0245786311495486,0,1,0
0.0403710170003686,0,1,0
0.0300072637838205,0,1,0
0.030994287899361,0,1,0
0.000890052404965758,0,1,0
-0.00404506816220795,0,1,0
-0.0134217972355879,0,1,0
-0.0415519844234953,0,1,0
-0.0380974000345256,0,1,0
-0.00305804404889765,0,1,0
0.0235916070344429,0,1,0
0.0433320893493381,0,1,0
0.0630725716919258,0,1,0
0.0472801858156018,0,1,0
0.0186564864599026,0,1,0
-0.00651262844521305,0,1,0
-0.0247725745276508,0,1,0
-0.0366168638676125,0,1,0
-0.0153958454608625,0,1,0
-0.0060191163886425,0,1,0
0.0171759502878603,0,1,0
0.0374099446520177,0,1,0
0.0319813120149677,0,1,0
0.0176694623451921,0,1,0
0.010760293544033,0,1,0
-0.0208244780791302,0,1,0
-0.0336557915334006,0,1,0
-0.00651262844521305,0,1,0
-0.0114477490100704,0,1,0
0.00977326942983936,0,1,0
0.0230980949769144,0,1,0
0.0181629744025384,0,1,0
0.0142148779442159,0,1,0
-0.00651262844521305,0,1,0
-0.019837453966852,0,1,0
-0.0257595986396337,0,1,0
-0.0227985263035086,0,1,0
-0.0153958454608625,0,1,0
0.00237058857542216,0,1,0
0.0285267276106378,0,1,0
0.0418515531747765,0,1,0
0.0467866737572575,0,1,0
0.0403710170003686,0,1,0
0.0147083900014495,0,1,0
-0.00749965255830709,0,1,0
-0.0440195447009097,0,1,0
-0.021811502191349,0,1,0
-0.0163828695734094,0,1,0
0.00434463680291808,0,1,0
0.0290202396683483,0,1,0
0.0433320893493381,0,1,0
0.0354358964201258,0,1,0
0.0196435105746788,0,1,0
0.00779922120164533,0,1,0
-0.0060191163886425,0,1,0
-0.0109542369536539,0,1,0
0.0122408297154433,0,1,0
0.0240851190919869,0,1,0
0.0403710170003686,0,1,0
0.0393839928841837,0,1,0
0.0354358964201258,0,1,0
0.0122408297154433,0,1,0
0.0216175588044285,0,1,0
-0.0099672128407744,0,1,0
-0.0149023334045664,0,1,0
-0.0385909120901347,0,1,0
-0.0227985263035086,0,1,0
-0.00157750787881605,0,1,0
0.0285267276106378,0,1,0
0.052215306400003,0,1,0
0.0492542340491515,0,1,0
0.0374099446520177,0,1,0
0.0127343417726116,0,1,0
-0.0129282851792309,0,1,0
-0.0163828695734094,0,1,0
-0.026746622751558,0,1,0
-0.0252660865836489,0,1,0
0.00385112474602067,0,1,0
0.0265526793799591,0,1,0
0.0270461914376039,0,1,0
0.0206305346895213,0,1,0
0.0147083900014495,0,1,0
-0.00749965255830709,0,1,0
-0.0371103759232643,0,1,0
-0.026746622751558,0,1,0
-0.0163828695734094,0,1,0
0.00187707651858826,0,1,0
0.0122408297154433,0,1,0
0.0226045829194028,0,1,0
0.0186564864599026,0,1,0
-0.00207101993552561,0,1,0
0.00434463680291808,0,1,0
-0.0336557915334006,0,1,0
-0.0227985263035086,0,1,0
-0.0390844241457309,0,1,0
-0.026746622751558,0,1,0
-0.0237855504156093,0,1,0
0.0305007758415829,0,1,0
0.0448126255240573,0,1,0
0.0576439390448833,0,1,0
0.030994287899361,0,1,0
0.0216175588044285,0,1,0
-0.019837453966852,0,1,0
-0.034149303589138,0,1,0
-0.0494481773099968,0,1,0
-0.00503209227545609,0,1,0
0.010760293544033,0,1,0
0.0270461914376039,0,1,0
0.0354358964201258,0,1,0
0.0339553602463845,0,1,0
0.0132278538297972,0,1,0
0.0206305346895213,0,1,0
0.00385112474602067,0,1,0
-0.00749965255830709,0,1,0
0.00779922120164533,0,1,0
0.0230980949769144,0,1,0
0.0344488723042815,0,1,0
0.0428385772911342,0,1,0
0.0290202396683483,0,1,0
0.0270461914376039,0,1,0
-0.0153958454608625,0,1,0
-0.0153958454608625,0,1,0
-0.0213179901352474,0,1,0
-0.0114477490100704,0,1,0
-0.026253110695603,0,1,0
0.0186564864599026,0,1,0
0.0137213658869983,0,1,0
0.00829273325867064,0,1,0
0.00681219708764402,0,1,0
-0.0213179901352474,0,1,0
-0.026746622751558,0,1,0
-0.0178634057421174,0,1,0
-0.0405649603124316,0,1,0
-0.0242790624716367,0,1,0
-0.0153958454608625,0,1,0
-0.0390844241457309,0,1,0
-0.0306947191986722,0,1,0
-0.000590483765350314,0,1,0
0.035929408478073,0,1,0
0.0423450652329462,0,1,0
0.0462931616989315,0,1,0
0.0601114993387242,0,1,0
0.0201370226320918,0,1,0
-0.0306947191986722,0,1,0
-0.0306947191986722,0,1,0
-0.0306947191986722,0,1,0
-0.00503209227545609,0,1,0
0.0117473176582905,0,1,0
0.026059167322332,0,1,0
0.0388904808261166,0,1,0
0.0339553602463845,0,1,0
0.00434463680291808,0,1,0
-0.0242790624716367,0,1,0
-0.0346428156448613,0,1,0
-0.0361233518119457,0,1,0
-0.0129282851792309,0,1,0
0.00582517297370622,0,1,0
0.00779922120164533,0,1,0
0.0280332155529424,0,1,0
0.0152019020586991,0,1,0
0.00434463680291808,0,1,0
0.00927975737276743,0,1,0
-0.0247725745276508,0,1,0
-0.027240134807498,0,1,0
-0.0435260326454543,0,1,0
-0.0469806170333467,0,1,0
-0.033162279477648,0,1,0
0.0221110708619072,0,1,0
0.0453061375823314,0,1,0
0.05270881845854,0,1,0
0.0566569149274727,0,1,0
0.0230980949769144,0,1,0
0.00187707651858826,0,1,0
-0.0183569177983234,0,1,0
-0.0336557915334006,0,1,0
-0.0129282851792309,0,1,0
0.0166824382305455,0,1,0
0.0235916070344429,0,1,0
0.0349423843621945,0,1,0
0.0453061375823314,0,1,0
0.030994287899361,0,1,0
0.00779922120164533,0,1,0
-0.000590483765350314,0,1,0
-0.0163828695734094,0,1,0
-0.00157750787881605,0,1,0
0.00927975737276743,0,1,0
0.0152019020586991,0,1,0
0.0374099446520177,0,1,0
0.0453061375823314,0,1,0
-0.0366168638676125,0,1,0
-0.0420454964790058,0,1,0
-0.0321752553661008,0,1,0
0.0230980949769144,0,1,0
0.0443191134658005,0,1,0
0.0581374511036161,0,1,0
0.0645531078687696,0,1,0
0.0285267276106378,0,1,0
0.00187707651858826,0,1,0
-0.0193439419106909,0,1,0
-0.0287206709752308,0,1,0
-0.0109542369536539,0,1,0
0.010760293544033,0,1,0
0.0226045829194028,0,1,0
0.0413580411166228,0,1,0
0.048760721990738,0,1,0
0.0334618481885056,0,1,0
0.00927975737276743,0,1,0
-0.00355155610556057,0,1,0
-0.0193439419106909,0,1,0
