potential(mV),background label,stimulation noise label,evoked potential label,dataset number,channel number,epoch number,stimulus number
0.00335761268913881,0,0,1,1,1,19,1
-0.000590483765350314,0,0,1,1,1,19,1
-0.00453858021883979,0,0,1,1,1,19,1
0.00385112474602067,0,0,1,1,1,19,1
-0.0134217972355879,0,0,1,1,1,19,1
-0.0223050142474364,0,0,1,1,1,19,1
-0.0183569177983234,0,0,1,1,1,19,1
-0.0227985263035086,0,0,1,1,1,19,1
-0.0242790624716367,0,0,1,1,1,19,1
-0.0203309660229984,0,0,1,1,1,19,1
-0.0336557915334006,0,0,1,1,1,19,1
-0.00749965255830709,0,0,1,1,1,19,1
-0.0168763816296602,0,0,1,1,1,19,1
-0.0173698936858964,0,0,1,1,1,19,1
-0.0114477490100704,0,0,1,1,1,19,1
-0.0183569177983234,0,0,1,1,1,19,1
-0.026746622751558,0,0,1,1,1,19,1
-0.0144088213482552,0,0,1,1,1,19,1
-0.00947370078431131,0,0,1,1,1,19,1
0.00434463680291808,0,0,1,1,1,19,1
-0.00453858021883979,0,0,1,1,1,19,1
-0.00157750787881605,0,0,1,1,1,19,1
-0.00305804404889765,0,0,1,1,1,19,1
0.00335761268913881,0,0,1,1,1,19,1
-0.00404506816220795,0,0,1,1,1,19,1
-0.00453858021883979,0,0,1,1,1,19,1
-0.00256453199221918,0,0,1,1,1,19,1
0.00829273325867064,0,0,1,1,1,19,1
0.010760293544033,0,0,1,1,1,19,1
0.0112538056011537,0,0,1,1,1,19,1
0.010760293544033,0,0,1,1,1,19,1
0.0166824382305455,0,0,1,1,1,19,1
0.00483814885983191,0,0,1,1,1,19,1
0.0112538056011537,0,0,1,1,1,19,1
0.0280332155529424,0,0,1,1,1,19,1
0.0221110708619072,0,0,1,1,1,19,1
0.0122408297154433,0,0,1,1,1,19,1
0.0171759502878603,0,0,1,1,1,19,1
0.0196435105746788,0,0,1,1,1,19,1
0.0191499985172823,0,0,1,1,1,19,1
0.00878624531571059,0,0,1,1,1,19,1
0.00779922120164533,0,0,1,1,1,19,1
0.0122408297154433,0,0,1,1,1,19,1
0.00730570914463691,0,0,1,1,1,19,1
0.00631868503066668,0,0,1,1,1,19,1
0.0181629744025384,0,0,1,1,1,19,1
0.000396540348178043,0,0,1,1,1,19,1
0.00582517297370622,0,0,1,1,1,19,1
0.00237058857542216,0,0,1,1,1,19,1
0.00631868503066668,0,0,1,1,1,19,1
0.00187707651858826,0,0,1,1,1,19,1
0.00631868503066668,0,0,1,1,1,19,1
-0.0158893575171435,0,0,1,1,1,19,1
-0.00503209227545609,0,0,1,1,1,19,1
-0.00898018872783313,0,0,1,1,1,19,1
-0.00453858021883979,0,0,1,1,1,19,1
